,uid,years,minutes,sqrm,distance,renovate,express,price,predict
775,13114-637,10,6,20,9.492733962,0,1,24000000,26019076.086619973
776,13114-638,7,2,20,9.492733962,0,1,24000000,30315892.31196545
777,13114-639,15,5,20,9.492733962,0,1,21000000,24018485.486351945
778,13114-640,18,4,40,9.492733962,0,1,31000000,38999381.00650252
779,13114-650,43,6,30,9.492733962,0,1,16000000,16328424.655603267
780,13114-651,50,3,30,9.492733962,1,1,17000000,17793867.78156273
781,13114-652,20,2,70,9.492733962,0,1,44000000,63144163.47059819
782,13114-662,10,6,30,9.492733962,0,1,22000000,33975072.250028506
783,13114-663,13,5,20,9.492733962,0,1,21000000,25087979.279953472
784,13114-664,18,3,40,9.492733962,0,1,25000000,39672524.890238315
785,13114-665,18,3,20,9.492733962,0,1,16000000,23760532.563421242
786,13114-679,50,3,40,9.492733962,0,1,17000000,22560624.19261384
787,13114-680,18,2,60,9.492733962,1,1,50000000,59446900.85314861
788,13114-681,18,3,20,9.492733962,0,1,20000000,23760532.563421242
789,13114-684,30,7,30,9.492733962,1,1,24000000,25796230.18263484
790,13114-685,29,4,15,9.492733962,1,1,11000000,16416414.485530194
791,13114-686,10,6,30,9.492733962,0,1,23000000,33975072.250028506
792,13114-687,13,5,20,9.492733962,0,1,21000000,25087979.279953472
793,13114-688,13,5,20,9.492733962,0,1,23000000,25087979.279953472
794,13114-693,9,7,20,9.492733962,1,1,28000000,29069918.85204237
795,13114-695,42,7,60,9.492733962,1,1,49000000,43247255.91125128
796,13114-696,8,4,55,9.492733962,0,1,54000000,56280844.21962297
797,13114-697,19,5,55,9.492733962,0,1,42000000,49725484.47107876
798,13114-698,50,7,35,9.492733962,0,1,10000000,15890050.57596639
799,13114-699,19,5,60,9.492733962,0,1,60000000,53703482.55278303
800,13114-701,9,7,20,9.492733962,0,1,25000000,25880679.099684943
801,13114-702,50,7,60,9.492733962,1,1,30000000,38969280.73684516
802,13114-703,50,6,40,9.492733962,0,1,18000000,20541192.541406453
803,13114-706,42,6,40,9.492733962,1,1,34000000,28008407.46817
804,13114-707,9,7,40,9.492733962,1,1,37000000,44981911.17885944
805,13114-708,16,7,20,9.492733962,0,1,24000000,22137450.822079588
806,13114-712,50,6,25,9.492733962,1,1,14000000,11796438.048651077
807,13114-716,48,4,35,9.492733962,0,1,20000000,18978976.020775307
808,13114-717,47,7,35,9.492733962,0,1,22000000,17494291.26636868
809,13114-718,31,10,15,9.492733962,0,1,13000000,8118817.63715646
810,13114-719,1,4,25,9.492733962,0,1,39000000,36156084.00700271
811,13114-720,1,4,25,9.492733962,0,1,51000000,36156084.00700271
812,13114-721,1,4,30,9.492733962,0,1,43000000,40134082.088706985
813,13114-722,32,3,20,9.492733962,1,1,20000000,19463315.760567963
814,13114-723,1,4,30,9.492733962,0,1,42000000,40134082.088706985
815,13114-724,1,4,35,9.492733962,0,1,49000000,44112080.17041125
816,13114-725,49,10,25,9.492733962,1,1,16000000,9638609.410508659
817,13114-726,1,4,30,9.492733962,0,1,38000000,40134082.088706985
818,13114-727,1,4,25,9.492733962,0,1,37000000,36156084.00700271
819,13114-728,1,4,40,9.492733962,0,1,49000000,48090078.25211552
820,13114-729,32,3,20,9.492733962,0,1,14000000,16274076.008210534
821,13114-730,35,6,10,9.492733962,0,1,11000000,4694407.503192313
822,13114-731,1,4,25,9.492733962,0,1,38000000,36156084.00700271
823,13114-732,1,4,40,9.492733962,0,1,54000000,48090078.25211552
824,13114-733,1,4,40,9.492733962,0,1,52000000,48090078.25211552
825,13114-734,48,4,50,9.492733962,0,1,22000000,30912970.26588811
826,13114-735,1,4,30,9.492733962,0,1,43000000,40134082.088706985
827,13114-736,25,11,30,9.492733962,1,1,25000000,25777389.131695483
828,13114-737,1,4,35,9.492733962,0,1,50000000,44112080.17041125
829,13114-738,16,9,80,9.492733962,0,1,70000000,68527140.03505921
830,13114-739,18,3,70,9.492733962,0,1,65000000,63540513.38046392
831,13114-740,11,4,35,9.492733962,1,1,35000000,41953850.95476103
832,13114-741,1,4,30,9.492733962,0,1,42000000,40134082.088706985
833,13114-744,4,1,50,9.492733962,0,1,54000000,56461265.37632915
834,13114-745,10,8,20,9.492733962,0,1,23000000,24672788.319148384
835,13114-746,49,10,35,9.492733962,0,1,14000000,14405365.821559766
836,13114-747,48,4,40,9.492733962,1,1,31000000,26146213.854837
837,13114-748,1,4,25,9.492733962,0,1,37000000,36156084.00700271
838,13114-749,1,4,25,9.492733962,0,1,38000000,36156084.00700271
839,13114-750,32,3,20,9.492733962,1,1,19000000,19463315.760567963
840,13114-751,1,4,65,9.492733962,0,1,80000000,67980068.66063686
841,13114-754,47,7,45,9.492733962,1,1,28000000,28639527.182134647
842,13114-755,34,6,15,9.492733962,0,1,12000000,9207152.48169735
843,13114-756,5,8,25,9.492733962,0,1,25000000,31324520.884856474
844,13114-757,35,4,15,9.492733962,0,1,7000000,10018693.352368176
845,13114-758,35,4,15,9.492733962,1,1,14000000,13207933.104725603
846,13114-759,11,4,30,9.492733962,0,1,31000000,34786613.12069934
847,13114-760,18,3,60,9.492733962,0,1,55000000,55584517.21705539
848,13114-761,14,2,35,9.492733962,0,1,27000000,38506658.2794729
849,13114-762,18,5,20,9.492733962,0,1,22000000,22414244.79594965
850,13114-763,49,10,70,9.492733962,1,1,43000000,45440592.145847075
851,13114-764,21,5,45,9.492733962,0,1,41000000,40699994.5140687
852,13114-771,20,5,55,9.492733962,0,1,30000000,49190737.574278
853,13114-772,32,3,20,9.492733962,0,1,14000000,16274076.008210534
854,13114-773,18,5,20,9.492733962,0,1,18000000,22414244.79594965
855,13114-774,18,3,85,9.492733962,0,1,80000000,75474507.62557673
856,13114-778,11,4,30,9.492733962,0,1,27000000,34786613.12069934
857,13114-779,19,6,50,9.492733962,0,1,42000000,45074342.505638696
858,13114-780,14,4,20,9.492733962,0,1,24000000,25226376.266888507
859,13114-787,8,6,80,9.492733962,0,1,83000000,74824546.86067271
860,13114-788,20,6,45,9.492733962,0,1,28000000,40561597.527133666
861,13114-795,10,8,20,9.492733962,0,1,20000000,24672788.319148384
862,13114-796,16,4,20,9.492733962,0,1,23000000,24156882.473286975
863,13114-797,14,4,25,9.492733962,0,1,22000000,29204374.348592773
864,13114-798,10,8,20,9.492733962,0,1,20000000,24672788.319148384
865,13114-799,32,4,20,9.492733962,0,1,13000000,15600932.12447474
866,13114-800,14,4,20,9.492733962,0,1,23000000,25226376.266888507
867,13114-801,5,10,40,9.492733962,0,1,36000000,41912227.36249769
868,13114-803,32,4,20,9.492733962,0,1,13000000,15600932.12447474
869,13114-804,49,10,35,9.492733962,1,1,21000000,17594605.573917195
870,13114-805,14,3,20,9.492733962,1,1,21000000,29088759.90298173
871,13114-806,16,9,75,9.492733962,0,1,56000000,64549141.95335495
872,13114-807,20,5,50,9.492733962,0,1,50000000,45212739.49257372
873,13114-812,35,10,45,9.492733962,1,1,37000000,33037058.292536438
874,13114-813,10,8,20,9.492733962,0,1,18000000,24672788.319148384
875,13114-814,48,4,35,9.492733962,0,1,26000000,18978976.020775307
876,13114-815,10,8,20,9.492733962,0,1,24000000,24672788.319148384
877,13114-818,19,6,50,9.492733962,0,1,46000000,45074342.505638696
878,13114-819,20,6,25,9.492733962,0,1,21000000,24649605.200316593
879,13114-820,16,4,20,9.492733962,0,1,23000000,24156882.473286975
880,13114-821,32,5,20,9.492733962,0,1,15000000,14927788.240738941
881,13114-822,31,10,15,9.492733962,0,1,7800000,8118817.63715646
882,13114-823,11,4,30,9.492733962,0,1,29000000,34786613.12069934
883,13114-824,18,5,45,9.492733962,0,1,38000000,42304235.20447099
884,13114-829,21,5,50,9.492733962,0,1,44000000,44677992.59577297
885,13114-830,35,10,45,9.492733962,0,1,26000000,29847818.540179007
886,13114-831,14,4,20,9.492733962,0,1,23000000,25226376.266888507
887,13114-832,15,8,60,9.492733962,1,1,43000000,57012278.24113613
888,13114-833,16,4,20,9.492733962,0,1,23000000,24156882.473286975
889,13114-834,32,5,20,9.492733962,0,1,13000000,14927788.240738941
890,13114-837,25,11,30,9.492733962,0,1,22000000,22588149.379338056
891,13114-838,11,4,30,9.492733962,0,1,29000000,34786613.12069934
892,13114-839,16,4,20,9.492733962,0,1,17000000,24156882.473286975
893,13114-840,18,3,65,9.492733962,0,1,60000000,59562515.298759654
894,13114-852,14,9,55,7.768447716,0,0,64000000,50357349.72596592
895,13114-853,14,9,70,7.768447716,1,0,62000000,65480583.723436154
896,13114-868,37,4,20,9.492733962,1,1,14000000,16116437.392828343
897,13114-871,7,2,70,9.492733962,1,1,85000000,73285112.88136557
898,13114-872,6,4,65,9.492733962,0,1,78000000,65306334.17663304
899,13114-873,6,4,55,9.492733962,0,1,65000000,57350338.0132245
900,13114-881,4,13,25,9.492733962,0,1,22000000,28493548.362978257
901,13114-882,37,4,40,9.492733962,1,1,29000000,32028429.71964542
902,13114-883,32,9,20,9.492733962,0,1,14000000,12235212.70579576
903,13114-884,18,4,40,9.492733962,0,1,32000000,38999381.00650252
904,13114-885,51,3,30,9.492733962,1,1,18000000,17259120.884761963
905,13114-886,7,2,45,9.492733962,0,1,65000000,50205882.72048679
906,13114-888,53,8,25,9.492733962,0,1,14000000,5656669.8384197615
907,13114-889,53,5,50,9.492733962,1,1,36000000,30755331.650505915
908,13114-892,6,4,55,9.492733962,0,1,67000000,57350338.0132245
909,13114-893,47,6,55,9.492733962,1,1,39000000,37268667.229278974
910,13114-894,34,9,15,9.492733962,1,1,11000000,10376960.58284739
911,13114-895,35,5,15,9.492733962,0,1,14000000,9345549.468632378
912,13114-896,17,14,75,9.492733962,0,1,54000000,60648675.6378752
913,13114-897,51,3,30,9.492733962,0,1,12000000,14069881.132404536
914,13114-898,15,3,40,9.492733962,0,1,37000000,41276765.58064061
915,13114-899,53,5,90,9.492733962,0,1,50000000,59390076.55178263
916,13114-902,32,9,20,9.492733962,0,1,12000000,12235212.70579576
917,13114-903,53,5,50,9.492733962,0,1,36000000,27566091.89814849
918,13114-904,27,6,15,9.492733962,0,1,10000000,12950380.759302702
919,13114-905,6,4,60,9.492733962,0,1,60000000,61328336.094928764
920,13114-906,32,4,25,9.492733962,0,1,20000000,19578930.206179008
921,13114-916,41,10,60,9.492733962,1,1,54000000,41762571.15684465
922,13114-917,14,6,65,9.492733962,0,1,73000000,59682071.23475532
923,13114-918,37,3,25,9.492733962,0,1,18000000,17578339.60591098
924,13114-919,41,10,40,9.492733962,0,1,27000000,22661339.077670153
925,13114-920,21,5,55,9.492733962,0,1,44000000,48655990.67747723
926,13114-921,47,10,65,9.492733962,0,1,40000000,39342848.105386905
927,13114-922,47,10,65,9.492733962,0,1,40000000,39342848.105386905
928,13114-923,22,11,65,9.492733962,1,1,55000000,55227616.39402765
929,13114-924,53,5,50,9.492733962,1,1,43000000,30755331.650505915
930,13114-925,34,9,15,9.492733962,0,1,7500000,7187720.830489963
931,13114-932,22,11,70,9.492733962,0,1,55000000,56016374.72337449
932,13114-933,7,2,55,9.492733962,0,1,79000000,58161878.88389532
933,13114-934,47,4,90,9.492733962,1,1,65000000,66460941.56868045
934,13114-935,53,5,50,9.492733962,0,1,27000000,27566091.89814849
935,13114-936,18,8,45,9.492733962,1,1,44000000,43474043.30562103
936,13114-938,41,10,40,9.492733962,0,1,29000000,22661339.077670153
937,13114-939,47,4,65,9.492733962,0,1,45000000,43381711.40780167
938,13114-945,7,2,60,9.492733962,1,1,72000000,65329116.71795703
939,13114-947,4,13,30,9.492733962,0,1,32000000,32471546.444682527
940,13114-948,7,2,35,9.492733962,1,1,51000000,45439126.30943568
941,13114-949,17,6,55,9.492733962,0,1,49000000,50121834.38094449
942,13114-950,53,5,50,9.492733962,0,1,27000000,27566091.89814849
943,13114-951,16,9,80,9.492733962,0,1,49000000,68527140.03505921
944,13114-952,35,6,15,9.492733962,1,1,9300000,11861645.33725401
945,13114-953,18,7,60,9.492733962,1,1,54000000,56081181.434469625
946,13114-954,32,4,55,9.492733962,0,1,36000000,43446918.69640461
947,13114-958,34,11,15,9.492733962,0,1,9500000,5841433.06301837
948,13114-959,20,5,65,9.492733962,0,1,53000000,57146733.73768653
949,13114-960,21,5,25,9.492733962,0,1,17000000,24788002.187251624
950,13114-961,32,9,20,9.492733962,0,1,11000000,12235212.70579576
951,13114-962,26,7,60,9.492733962,0,1,50000000,48613966.50770608
952,13114-963,51,3,30,9.492733962,0,1,7000000,14069881.132404536
953,13114-964,51,3,40,9.492733962,1,1,23000000,25215117.0481705
954,13114-965,25,4,70,9.492733962,0,1,53000000,59124141.219122775
955,13114-976,47,4,45,9.492733962,0,1,35000000,27469719.080984607
956,13114-977,27,4,25,9.492733962,0,1,21000000,22252664.69018283
957,13114-978,34,8,10,9.492733962,0,1,9500000,3882866.632521488
958,13114-979,35,6,15,9.492733962,0,1,9900000,8672405.584896583
959,13114-980,7,2,55,9.492733962,0,1,69000000,58161878.88389532
960,13114-981,47,4,50,9.492733962,1,1,38000000,34636956.915046304
961,13114-982,53,8,25,9.492733962,0,1,16000000,5656669.8384197615
962,13114-983,22,11,50,9.492733962,1,1,53000000,43293622.14891486
963,13114-984,14,10,30,9.492733962,0,1,24000000,29143509.127882265
964,13114-985,19,7,65,9.492733962,0,1,59000000,56335192.867015705
965,13114-989,7,10,55,9.492733962,0,1,49000000,52776727.81400896
966,13114-990,14,10,30,9.492733962,0,1,23000000,29143509.127882265
967,13114-991,53,8,25,9.492733962,1,1,16000000,8845909.590777189
968,13114-992,26,9,30,9.492733962,0,1,11000000,23399690.25000888
969,13114-994,37,4,65,9.492733962,0,1,30000000,48729180.37580933
970,13114-995,32,4,20,9.492733962,0,1,13000000,15600932.12447474
971,13114-996,51,3,40,9.492733962,0,1,16000000,22025877.295813072
972,13114-997,51,3,50,9.492733962,0,1,25000000,29981873.45922161
973,13114-1007,13,7,20,9.492733962,0,1,22000000,23741691.512481883
974,13114-1008,53,5,105,9.492733962,0,1,39000000,71324070.79689544
975,13114-1009,53,5,50,9.492733962,0,1,31000000,27566091.89814849
976,13114-1010,29,7,15,9.492733962,0,1,9500000,11207743.08196538
977,13114-1011,12,7,65,9.492733962,0,1,57000000,60078421.14462106
978,13114-1014,14,10,35,9.492733962,1,1,43000000,36310746.96194396
979,13114-1015,13,7,25,9.492733962,0,1,29000000,27719689.59418615
980,13114-1020,47,10,75,9.492733962,0,1,38000000,47298844.26879544
981,13114-1021,23,2,55,9.492733962,0,1,43000000,49605928.535083085
982,13114-1022,14,10,50,9.492733962,1,1,50000000,48244741.20705676
983,13114-1023,53,5,80,9.492733962,1,1,54000000,54623320.14073153
984,13114-1024,28,7,15,9.492733962,0,1,11000000,11742489.978766143
985,13114-1025,28,7,15,9.492733962,0,1,11000000,11742489.978766143
986,13114-1026,28,7,15,9.492733962,0,1,13000000,11742489.978766143
987,13114-1113,10,12,20,10.8508634,0,0,25000000,20485289.795775943
988,13114-1114,11,10,25,10.8508634,0,0,27000000,25274828.748151038
989,13114-1117,31,13,15,10.8508634,1,0,7200000,7793702.749877244
990,13114-1120,11,11,20,10.8508634,0,0,21000000,20623686.782710973
991,13114-1122,15,11,20,10.8508634,0,0,21000000,18484699.195507914
992,13114-1123,31,13,15,10.8508634,0,0,7000000,4604462.997519817
993,13114-1126,16,10,70,10.8508634,0,0,42000000,58403076.99948563
994,13114-1127,14,12,30,10.8508634,0,0,28000000,26302298.37198142
995,13114-1129,15,11,20,10.8508634,0,0,19000000,18484699.195507914
996,13114-1130,10,12,40,10.8508634,1,0,33000000,39586521.87495044
997,13114-1131,15,11,20,10.8508634,0,0,22000000,18484699.195507914
998,13114-1135,50,14,35,9.492733962,1,1,23000000,14367283.142173247
999,13114-1141,50,14,35,9.492733962,1,1,20000000,14367283.142173247
1000,13114-1302,14,7,25,9.492733962,0,1,26000000,27184942.697385386
1001,13114-1303,11,6,70,9.492733962,0,1,61000000,65264310.00686189
1002,13114-1304,49,5,45,9.492733962,1,1,35000000,28916321.15600471
1003,13114-1305,49,5,50,9.492733962,0,1,27000000,29705079.485351548
1004,13114-1306,14,7,50,9.492733962,0,1,45000000,47074933.105906725
1005,13114-1307,49,5,30,9.492733962,1,1,20000000,16982326.9108919
1006,13114-1308,15,5,20,9.492733962,0,1,22000000,24018485.486351945
1007,13114-1310,14,7,40,9.492733962,0,1,27000000,39118936.94249819
1008,13114-1312,49,5,45,9.492733962,1,1,29000000,28916321.15600471
1009,13114-1313,14,7,50,9.492733962,0,1,38000000,47074933.105906725
1010,13114-1314,11,6,60,9.492733962,0,1,59000000,57308313.84345335
1011,13114-1315,14,7,20,9.492733962,0,1,19000000,23206944.615681116
1012,13114-1316,14,7,25,9.492733962,0,1,20000000,27184942.697385386
1013,13114-1317,15,5,20,9.492733962,0,1,21000000,24018485.486351945
1014,13114-1322,19,2,40,7.768447716,0,0,30000000,40461628.182999864
1015,13114-1323,12,3,65,7.768447716,1,0,70000000,66610942.73774819
1016,13114-1324,32,7,45,7.768447716,1,0,30000000,37311436.93997264
1017,13114-1325,21,2,55,7.768447716,0,0,38000000,51326128.63451114
1018,13114-1326,16,3,20,7.768447716,0,0,23000000,25480732.66284929
1019,13114-1327,4,1,70,7.768447716,0,0,95000000,73023964.00897273
1020,13114-1328,7,3,50,7.768447716,0,0,52000000,54161443.22428177
1021,13114-1329,7,3,50,7.768447716,0,0,57000000,54161443.22428177
1022,13114-1332,54,4,25,7.768447716,0,0,7000000,8465204.782388695
1023,13114-1333,8,9,60,7.768447716,0,0,60000000,57543829.188474774
1024,13114-1334,23,7,50,7.768447716,0,0,39000000,42912917.34052636
1025,13114-1340,13,8,50,7.768447716,0,0,55000000,47587242.42479821
1026,13114-1341,8,9,70,7.768447716,0,0,63000000,65499825.35188331
1027,13114-1342,44,0,15,7.768447716,0,0,5500000,8549253.12193099
1028,13114-1343,44,0,10,7.768447716,0,0,8500000,4571255.040226724
1029,13114-1344,8,9,75,7.768447716,0,0,69000000,69477823.43358758
1030,13114-1345,8,9,65,7.768447716,0,0,63000000,61521827.27017904
1031,13114-1352,7,3,65,7.768447716,0,0,63000000,66095437.46939458
1032,13114-1353,50,1,30,7.768447716,0,0,16000000,16601622.102503413
1033,13114-1354,28,2,85,7.768447716,0,0,68000000,71450888.84713139
1034,13114-1355,9,1,60,7.768447716,0,0,57000000,62394233.361560374
1035,13114-1356,28,5,20,7.768447716,0,0,13000000,17717482.133768518
1036,13114-1362,50,1,50,7.768447716,1,0,38000000,35702854.181677915
1037,13114-1364,50,1,55,7.768447716,1,0,34000000,39680852.26338218
1038,13114-1365,12,3,70,7.768447716,1,0,61000000,70588940.81945246
1039,13114-1366,12,3,65,7.768447716,0,0,70000000,63421702.98539076
1040,13114-1367,54,4,25,7.768447716,0,0,8000000,8465204.782388695
1041,13114-1372,6,7,65,7.768447716,0,0,71000000,63937608.831252165
1042,13114-1373,44,0,15,7.768447716,0,0,8000000,8549253.12193099
1043,13114-1374,12,3,20,7.768447716,0,0,22000000,27619720.250052348
1044,13114-1375,6,7,60,7.768447716,0,0,55000000,59959610.74954789
1045,13114-1376,16,6,40,7.768447716,0,0,35000000,39373293.33845897
1046,13114-1377,8,1,50,7.768447716,1,0,60000000,58162223.84731004
1047,13114-1382,17,8,70,7.768447716,0,0,60000000,61360247.16441222
1048,13114-1383,50,7,35,7.768447716,0,0,15000000,16540756.881792907
1049,13114-1384,12,3,70,7.768447716,0,0,75000000,67399701.06709503
1050,13114-1389,50,1,50,7.768447716,1,0,35000000,35702854.181677915
1051,13114-1390,50,7,45,7.768447716,0,0,9600000,24496753.045201443
1052,13114-1391,50,1,55,7.768447716,1,0,41000000,39680852.26338218
1053,13114-1392,4,1,60,7.768447716,0,0,76000000,65067967.8455642
1054,13114-1393,4,1,55,7.768447716,0,0,68000000,61089969.76385993
1055,13114-1394,4,1,60,7.768447716,0,0,84000000,65067967.8455642
1056,13114-1399,15,2,30,7.768447716,0,0,20000000,34644619.60679439
1057,13114-1400,14,2,20,7.768447716,0,0,24000000,27223370.340186615
1058,13114-1401,20,3,20,7.768447716,0,0,16000000,23341745.07564623
1059,13114-1402,19,2,45,7.768447716,0,0,28000000,44439626.26470413
1060,13114-1403,20,3,20,7.768447716,1,0,19000000,26530984.828003656
1061,13114-1412,44,4,25,7.768447716,0,0,12000000,13812673.750396345
1062,13114-1413,17,6,70,7.768447716,0,0,57000000,62706534.93188381
1063,13114-1414,50,1,55,7.768447716,0,0,29000000,36491612.51102476
1064,13114-1415,50,7,50,7.768447716,1,0,25000000,31663990.87926314
1065,13114-1416,3,1,70,7.768447716,0,0,80000000,73558710.90577349
1066,13114-1417,54,4,45,7.768447716,0,0,14000000,24377197.109205768
1067,13114-1420,7,2,50,7.768447716,0,0,54000000,54834587.10801758
1068,13114-1421,4,1,75,7.768447716,0,0,91000000,77001962.090677
1069,13114-1422,50,1,70,7.768447716,1,0,54000000,51614846.50849499
1070,13114-1423,15,2,20,7.768447716,1,0,20000000,29877863.195743278
1071,13114-1426,8,1,55,7.768447716,0,0,60000000,58950982.17665687
1072,13114-1427,14,2,20,7.768447716,0,0,18000000,27223370.340186615
1073,13114-1428,8,9,70,7.768447716,0,0,69000000,65499825.35188331
1074,13114-1431,4,1,60,9.492733962,0,1,60000000,64417261.53973769
1075,13114-1432,16,8,70,9.492733962,0,1,60000000,61244287.75538647
1076,13114-1433,32,3,15,9.492733962,0,1,14000000,12296077.926506266
1077,13114-1434,15,4,20,9.492733962,0,1,21000000,24691629.370087743
1078,13114-1435,26,4,25,9.492733962,0,1,15000000,22787411.586983595
1079,13114-1436,13,5,40,9.492733962,0,1,41000000,40999971.606770545
1080,13114-1437,25,6,35,9.492733962,0,1,23000000,29931866.879721306
1081,13114-1438,37,0,25,9.492733962,0,1,14000000,19597771.257118367
1082,13114-1439,12,5,20,9.492733962,0,1,17000000,25622726.17675424
1083,13114-1445,13,2,35,9.492733962,1,1,34000000,42230644.92863109
1084,13114-1446,27,6,15,9.492733962,0,1,10000000,12950380.759302702
1085,13114-1447,17,6,20,9.492733962,0,1,22000000,22275847.80901462
1086,13114-1448,12,7,35,9.492733962,0,1,33000000,36210432.65439545
1087,13114-1449,21,3,20,9.492733962,0,1,21000000,22156291.873018946
1088,13114-1450,12,5,20,9.492733962,0,1,17000000,25622726.17675424
1089,13114-1451,15,4,20,9.492733962,0,1,22000000,24691629.370087743
1090,13114-1452,37,0,30,9.492733962,0,1,16000000,23575769.338822633
1091,13114-1453,15,4,20,9.492733962,0,1,17000000,24691629.370087743
1092,13114-1457,32,3,15,9.492733962,0,1,13000000,12296077.926506266
1093,13114-1458,12,7,20,9.492733962,0,1,19000000,24276438.409282647
1094,13114-1459,37,0,20,9.492733962,0,1,6000000,15619773.175414098
1095,13114-1460,16,2,65,9.492733962,0,1,48000000,61305152.97609698
1096,13114-1461,30,7,15,9.492733962,0,1,12000000,10672996.185164612
1097,13114-1462,45,0,70,9.492733962,1,1,45000000,54311018.57040809
1098,13114-1463,28,4,15,9.492733962,0,1,10000000,13761921.62997353
1099,13114-1464,16,8,70,9.492733962,1,1,64000000,64433527.5077439
1100,13114-1467,13,5,20,9.492733962,0,1,20000000,25087979.279953472
1101,13114-1468,17,6,35,9.492733962,0,1,30000000,34209842.054127425
1102,13114-1475,24,7,45,9.492733962,1,1,42000000,40938705.808552235
1103,13114-1476,30,3,15,9.492733962,0,1,12000000,13365571.720107794
1104,13114-1481,15,4,35,9.492733962,1,1,37000000,39814863.36755797
1105,13114-1482,15,4,20,9.492733962,0,1,23000000,24691629.370087743
1106,13114-1483,20,1,40,9.492733962,0,1,27000000,39949318.864108376
1107,13114-1484,30,7,15,9.492733962,0,1,11000000,10672996.185164612
1108,13114-1485,17,6,65,9.492733962,0,1,59000000,58077830.54435303
1109,13114-1486,13,2,30,9.492733962,0,1,29000000,35063407.0945694
1110,13114-1490,30,7,15,9.492733962,0,1,12000000,10672996.185164612
1111,13114-1491,25,3,15,9.492733962,0,1,13000000,16039306.20411162
1112,13114-1492,4,3,35,9.492733962,0,1,38000000,43180983.36374475
1113,13114-1494,14,5,40,9.492733962,0,1,32000000,40465224.70996978
1114,13114-1495,25,2,40,9.492733962,0,1,28000000,36602440.49636876
1115,13114-1496,45,0,25,9.492733962,1,1,14000000,18509035.835069675
1116,13114-1497,12,5,40,9.492733962,0,1,28000000,41534718.50357131
1117,13114-1498,16,8,70,9.492733962,0,1,50000000,61244287.75538647
1118,13114-1499,28,4,40,9.492733962,1,1,20000000,36841151.7908523
1119,13114-1500,32,3,15,9.492733962,0,1,4400000,12296077.926506266
1120,13114-1501,34,2,50,9.492733962,0,1,29000000,39745714.58857041
1121,13114-1502,6,2,55,9.492733962,0,1,53000000,58696625.78069609
1122,13114-1505,4,1,60,9.492733962,0,1,59000000,64417261.53973769
1123,13114-1506,17,6,20,9.492733962,0,1,18000000,22275847.80901462
1124,13114-1507,13,5,20,9.492733962,0,1,14000000,25087979.279953472
1125,13114-1508,14,5,45,9.492733962,0,1,37000000,44443222.79167405
1126,13114-1509,25,2,20,9.492733962,1,1,21000000,23879687.921909112
1127,13114-1510,15,4,35,9.492733962,0,1,28000000,36625623.61520054
1128,13114-1511,45,0,25,9.492733962,0,1,9300000,15319796.082712248
1129,13114-1513,21,5,40,9.492733962,0,1,30000000,36721996.43236443
1130,13114-1514,33,7,35,9.492733962,0,1,18000000,24980747.821579393
1131,13114-1515,45,0,25,9.492733962,1,1,12000000,18509035.835069675
1132,13114-1516,14,1,65,9.492733962,1,1,54000000,66237030.40579174
1133,13114-1517,18,5,20,9.492733962,1,1,20000000,25603484.548307076
1134,13114-1518,14,5,40,9.492733962,0,1,28000000,40465224.70996978
1135,13114-1520,3,1,55,9.492733962,0,1,65000000,60974010.354834184
1136,13114-1521,4,1,60,9.492733962,0,1,57000000,64417261.53973769
1137,13114-1523,32,3,15,9.492733962,0,1,8600000,12296077.926506266
1138,13114-1527,4,4,45,9.492733962,0,1,48000000,50463835.64341749
1139,13114-1528,30,7,15,9.492733962,0,1,18000000,10672996.185164612
1140,13114-1529,18,5,20,9.492733962,0,1,18000000,22414244.79594965
1141,13114-1530,4,4,45,9.492733962,0,1,45000000,50463835.64341749
1142,13114-1531,4,4,40,9.492733962,0,1,40000000,46485837.56171322
1143,13114-1532,30,3,15,9.492733962,0,1,9800000,13365571.720107794
1144,13114-1533,4,1,60,9.492733962,0,1,62000000,64417261.53973769
1145,13114-1536,6,6,70,9.492733962,0,1,80000000,67938044.4908657
1146,13114-1537,13,5,60,9.492733962,0,1,65000000,56911963.93358762
1147,13114-1538,21,5,35,9.492733962,1,1,34000000,35933238.10301759
1148,13114-1539,46,4,25,9.492733962,0,1,11000000,12092473.650968296
1149,13114-1548,2,1,25,9.492733962,0,1,38000000,37640768.761409335
1150,13114-1549,35,9,10,9.492733962,0,1,11000000,2674975.8519849256
1151,13114-1550,2,1,25,9.492733962,0,1,38000000,37640768.761409335
1152,13114-1553,48,0,25,9.492733962,1,1,15000000,16904795.14466738
1153,13114-1554,2,1,25,9.492733962,0,1,40000000,37640768.761409335
1154,13114-1557,33,2,15,9.492733962,0,1,12000000,12434474.913441297
1155,13114-1558,3,7,40,9.492733962,0,1,42000000,45001152.8073066
1156,13114-1559,19,2,20,9.492733962,0,1,24000000,23898929.550356273
1157,13114-1564,13,5,60,9.492733962,0,1,59000000,56911963.93358762
1158,13114-1565,35,5,45,9.492733962,1,1,38000000,36402777.711215414
1159,13114-1569,48,0,20,9.492733962,1,1,14000000,12926797.062963111
1160,13114-1570,13,5,50,9.492733962,0,1,50000000,48955967.77017908
1161,13114-1571,46,4,15,9.492733962,0,1,7500000,4136477.487559762
1162,13114-1572,15,9,30,9.492733962,0,1,22000000,29281906.1148173
1163,13114-1574,8,8,70,9.492733962,0,1,65000000,65522262.92979259
